feature,coefficient,abs_coefficient
county__county_Kenedy,-0.46351359867692293,0.46351359867692293
county__county_Sherman,-0.46348307812327305,0.46348307812327305
county__county_Glasscock,-0.4631231570945327,0.4631231570945327
county__county_Borden,-0.4630544190591138,0.4630544190591138
county__county_Reagan,-0.46259984002798255,0.46259984002798255
county__county_Brewster,-0.46190858338590507,0.46190858338590507
county__county_Upton,-0.46167022406796576,0.46167022406796576
county__county_San Saba,-0.4611568365875716,0.4611568365875716
county__county_Real,-0.4610234970250996,0.4610234970250996
county__county_Donley,-0.46069051013233353,0.46069051013233353
county__county_Cottle,-0.45983787914141594,0.45983787914141594
county__county_Mills,-0.45982099037217106,0.45982099037217106
county__county_Coleman,-0.4596367418065385,0.4596367418065385
county__county_Bailey,-0.4594733066940724,0.4594733066940724
county__county_Edwards,-0.45922467045125115,0.45922467045125115
county__county_Armstrong,-0.45919059446650634,0.45919059446650634
county__county_Rains,-0.45886150817362015,0.45886150817362015
county__county_Somervell,-0.45844957652370333,0.45844957652370333
county__county_Hall,-0.45825210920174886,0.45825210920174886
county__county_Stonewall,-0.4580063282475608,0.4580063282475608
county__county_Sutton,-0.4579843946085453,0.4579843946085453
county__county_Ochiltree,-0.457969556028123,0.457969556028123
county__county_Dickens,-0.457951679588074,0.457951679588074
county__county_Kinney,-0.45786042367024504,0.45786042367024504
county__county_Live Oak,-0.4577409049262257,0.4577409049262257
county__county_Gaines,-0.45731987403936736,0.45731987403936736
county__county_Jack,-0.45688778783187745,0.45688778783187745
county__county_Oldham,-0.45676297779018926,0.45676297779018926
county__county_Lynn,-0.4561975638386635,0.4561975638386635
county__county_Shackelford,-0.45570483158543995,0.45570483158543995
county__county_Marion,-0.4556893523494529,0.4556893523494529
county__county_Hamilton,-0.45539948809329683,0.45539948809329683
county__county_Menard,-0.45533772792724064,0.45533772792724064
county__county_Haskell,-0.45504917184969274,0.45504917184969274
county__county_Mason,-0.45497836157240856,0.45497836157240856
county__county_Hemphill,-0.45495759051396883,0.45495759051396883
county__county_Briscoe,-0.4549321207731284,0.4549321207731284
county__county_Schleicher,-0.45480523675707535,0.45480523675707535
county__county_Jones,-0.45450180960261527,0.45450180960261527
county__county_Cochran,-0.4540446107904432,0.4540446107904432
county__county_Coke,-0.4526263072787134,0.4526263072787134
county__county_Carson,-0.45236174744881347,0.45236174744881347
county__county_Nolan,-0.45226038833568827,0.45226038833568827
county__county_Hudspeth,-0.45223556434692963,0.45223556434692963
county__county_Young,-0.4521105077851408,0.4521105077851408
county__county_Kimble,-0.4520175187852513,0.4520175187852513
county__county_Irion,-0.45159824247357994,0.45159824247357994
county__county_Loving,-0.4510806460887736,0.4510806460887736
county__county_Runnels,-0.4498327151525796,0.4498327151525796
county__county_Martin,-0.44965340192934455,0.44965340192934455
county__county_Gray,-0.44816149653273923,0.44816149653273923
county__county_Crane,-0.4477496966100821,0.4477496966100821
county__county_Upshur,-0.4472804524032608,0.4472804524032608
county__county_Lavaca,-0.446990693360133,0.446990693360133
county__county_Garza,-0.44686661442437187,0.44686661442437187
county__county_McCulloch,-0.44608937722499264,0.44608937722499264
county__county_Yoakum,-0.445673637961938,0.445673637961938
county__county_Concho,-0.4455125601900924,0.4455125601900924
county__county_Morris,-0.4452104779003348,0.4452104779003348
county__county_Rusk,-0.44517067001056526,0.44517067001056526
county__county_Refugio,-0.44473453930157797,0.44473453930157797
county__county_Crockett,-0.44392481831880587,0.44392481831880587
county__county_Houston,-0.44378183380178293,0.44378183380178293
county__county_Childress,-0.443577879944328,0.443577879944328
county__county_Anderson,-0.44354711946789427,0.44354711946789427
county__county_Lamb,-0.4432605577847846,0.4432605577847846
county__county_Swisher,-0.44320374314718514,0.44320374314718514
county__county_La Salle,-0.4431346057646213,0.4431346057646213
county__county_Parmer,-0.44262742343475275,0.44262742343475275
county__county_Madison,-0.4415873929978505,0.4415873929978505
county__county_Mitchell,-0.4414980528912673,0.4414980528912673
county__county_Floyd,-0.44092023347883913,0.44092023347883913
county__county_Terry,-0.44063524711341356,0.44063524711341356
county__county_Leon,-0.4396808114995354,0.4396808114995354
county__county_Dawson,-0.4388470689437633,0.4388470689437633
county__county_Freestone,-0.4385599456608954,0.4385599456608954
county__county_Red River,-0.4384617487967833,0.4384617487967833
county__county_Winkler,-0.4383094364239267,0.4383094364239267
county__county_Hansford,-0.43809052301069207,0.43809052301069207
county__county_Ward,-0.43792419283124445,0.43792419283124445
county__county_Brooks,-0.4378016028721484,0.4378016028721484
county__county_Montague,-0.43775598390922044,0.43775598390922044
county__county_Callahan,-0.43742742093655523,0.43742742093655523
county__county_Goliad,-0.4366923659275454,0.4366923659275454
county__county_Crosby,-0.4356143462201101,0.4356143462201101
county__county_Fayette,-0.43503582622948533,0.43503582622948533
county__county_Pecos,-0.4340973953145263,0.4340973953145263
county__county_Wilbarger,-0.433991838615914,0.433991838615914
county__county_Archer,-0.4327938888363108,0.4327938888363108
county__county_Falls,-0.4327401335687598,0.4327401335687598
county__county_Angelina,-0.43105149239368606,0.43105149239368606
county__county_Franklin,-0.43099716889251855,0.43099716889251855
county__county_Jackson,-0.4309676998909943,0.4309676998909943
county__county_Trinity,-0.4305438427346934,0.4305438427346934
county__county_Delta,-0.4305329236969572,0.4305329236969572
county__county_Gillespie,-0.4297159337349093,0.4297159337349093
county__county_Fannin,-0.42960445210974874,0.42960445210974874
county__county_Wood,-0.42937462923013325,0.42937462923013325
county__county_Gonzales,-0.42906292526892165,0.42906292526892165
county__county_Howard,-0.42850545379797395,0.42850545379797395
county__county_Castro,-0.4281538140957753,0.4281538140957753
